country,SPI,HDIrank,HDIindex,HDI_cat,happiness,gendereq,infantmort,birth_MF,sixty_MF,logGDP
China,62.67,86,0.747909784,High,5.32495594,0.675823711,0.0086,76.4,19.9,30.046131
Colombia,70.58,90,0.746660966,High,6.233715057,0.726711886,0.0131,75.1,21.8,26.35838039
Comoros,52.24,165,0.502323134,Low,NA,NA,0.0536,63.9,16.3,20.23981944
Congo - Brazzaville,44.98,137,0.611686774,Medium,4.119493484,NA,0.0358,64.3,17.6,22.78167638
Congo - Kinshasa,34.97,176,0.452319763,Low,4.521935463,NA,0.0721,60.5,16.9,24.2783613
Cook Islands,NA,NA,NA,NA,NA,NA,0.0067,NA,NA,NA
Costa Rica,80.97,63,0.790919521,High,7.135617733,0.736218638,0.008,79.6,24.1,24.76612393
Côte d’Ivoire,45.99,NA,NA,NA,NA,NA,NA,NA,NA,24.31714344
Croatia,78.32,46,0.827757738,Very High,5.416875362,0.699881023,0.004,78.3,21.5,24.66170728
Cuba,68.52,73,0.774176498,High,NA,0.74002508,0.0042,79,22.7,NA
Cyprus,81.85,32,0.867023812,Very High,5.794618607,0.684360991,0.0022,80.7,22.8,23.72666225
Czechia,83.72,27,0.884775295,Very High,6.735627174,0.690061222,0.0026,79.2,22.1,25.99782828
Denmark,89.25,11,0.928017227,Very High,7.55778265,0.753507118,0.0037,81.2,23.8,26.4497878
Djibouti,45.22,172,0.473662318,Low,NA,NA,0.053,63.8,17.6,21.29100198
Dominica,NA,103,0.718364876,High,NA,NA,0.0304,NA,NA,20.18109408
Dominican Republic,64.92,94,0.732607793,High,5.238698483,0.675976249,0.0256,73.5,22,25.00468409
Ecuador,68.86,86,0.749385216,High,6.115437508,0.726199446,0.0127,76.5,22.8,25.31447879
Egypt,58.28,115,0.693985633,Medium,4.556740761,0.613648169,0.0194,70.5,16.9,26.53119209
El Salvador,64.94,121,0.678922361,Medium,6.139824867,0.701785305,0.0129,73.7,21.9,23.89765578
Equatorial Guinea,NA,141,0.59249311,Medium,NA,NA,0.0674,59.5,16.8,23.14448337
Eritrea,31.61,179,0.436157023,Low,NA,NA,0.0329,65,16.4,NA
Estonia,82.8,30,0.867597548,Very High,5.649675369,0.746539681,0.0023,77.8,22.2,23.87334481
Ethiopia,38.79,173,0.456698122,Low,4.297848701,0.66209591,0.0425,65.5,18.1,25.01373871
Fiji,64.41,92,0.738394856,High,NA,NA,0.0211,69.9,17.2,22.26470609
Finland,89.38,15,0.917612431,Very High,7.659843445,0.845046748,0.0019,81.4,24.2,26.1983812
France,87.74,24,0.899275692,Very High,6.475208759,0.755010025,0.0035,82.9,25.9,28.53326566
Gabon,NA,110,0.698277276,High,4.831764221,NA,0.0361,66.4,18.3,23.36334251
Gambia,44.25,174,0.457233795,Low,NA,0.667207412,0.0423,61.9,15.3,20.6853533
Georgia,69.05,70,0.776398211,High,4.448386192,0.680937201,0.0102,72.6,18.3,23.38896626
